# C-39 A/B verdict -- asset: ref
source: /root/panthera/ferox-isaac-demo/docs/mm/evidence/C39/ab/ref_sim.log
rig released at: 11.049
report samples: 150  t 0.50 .. 75.00

 t        base_z   pitch    roll
   11.50  +0.778  +0.001  -0.000
   14.00  +0.110  +1.542  -2.642
   16.50  +0.109  +1.538  -2.639
   19.00  +0.107  +1.531  -2.628
   21.50  +0.107  +1.530  -2.623
   24.00  +0.106  +1.527  -2.635
   26.50  +0.106  +1.526  -2.634
   29.00  +0.103  +1.518  -2.702
   31.50  +0.102  +1.517  -2.726
   34.00  +0.102  +1.515  -2.726
   36.50  +0.102  +1.516  -2.715
   39.00  +0.102  +1.515  -2.710
   41.50  +0.101  +1.513  -2.754
   44.00  +0.100  +1.511  -2.807
   46.50  +0.100  +1.511  -2.794
   49.00  +0.100  +1.511  -2.766
   51.50  +0.099  +1.509  -2.854
   54.00  +0.100  +1.510  -2.840
   56.50  +0.099  +1.507  -2.834
   59.00  +0.099  +1.507  -2.864
   61.50  +0.099  +1.508  -2.862
   64.00  +0.099  +1.509  -2.872
   66.50  +0.099  +1.508  -2.853
   69.00  +0.098  +1.505  -2.945
   71.50  +0.098  +1.507  -2.951
   74.00  +0.099  +1.507  -2.898

final: t=75.00 base_z=+0.095 pitch=+1.495 (+85.7 deg) roll=+3.131 (+179.4 deg)
criteria: |pitch|<=15deg False  |roll|<=15deg False  base_z>=0.55 False  held through second half False

RESULT: FALLS
