# C-39 A/B verdict -- asset: twin_bare
source: /root/panthera/ferox-isaac-demo/docs/mm/evidence/C39/ab/twin_bare_sim.log
rig released at: 11.16
report samples: 153  t 0.50 .. 76.50

 t        base_z   pitch    roll
   11.50  +0.780  -0.026  +0.002
   14.00  +0.111  +1.547  -2.898
   16.50  +0.110  +1.545  -2.933
   19.00  +0.107  +1.536  -3.056
   21.50  +0.107  +1.540  -3.063
   24.00  +0.107  +1.539  -3.086
   26.50  +0.107  +1.540  -3.068
   29.00  +0.107  +1.538  -3.061
   31.50  +0.107  +1.539  -3.092
   34.00  +0.107  +1.538  -3.141
   36.50  +0.108  +1.542  +3.113
   39.00  +0.107  +1.541  +3.104
   41.50  +0.106  +1.537  +3.141
   44.00  +0.107  +1.541  -3.119
   46.50  +0.107  +1.539  +3.086
   49.00  +0.107  +1.538  -3.113
   51.50  +0.106  +1.534  +3.090
   54.00  +0.108  +1.542  -3.139
   56.50  +0.108  +1.542  -3.132
   59.00  +0.107  +1.539  +3.107
   61.50  +0.108  +1.542  -3.129
   64.00  +0.107  +1.538  +3.128
   66.50  +0.108  +1.542  +3.123
   69.00  +0.108  +1.543  +3.138
   71.50  +0.107  +1.540  +3.129
   74.00  +0.108  +1.542  -3.130
   76.50  +0.108  +1.542  +3.128

final: t=76.50 base_z=+0.108 pitch=+1.542 (+88.4 deg) roll=+3.128 (+179.2 deg)
criteria: |pitch|<=15deg False  |roll|<=15deg False  base_z>=0.55 False  held through second half False

RESULT: FALLS
