# C-39 A/B verdict -- asset: twin_bare
source: /root/panthera/ferox-isaac-demo/docs/mm/evidence/C39/ab/twin_bare_sim.log
rig released at: 11.86
report samples: 151  t 0.50 .. 75.50

 t        base_z   pitch    roll
   12.00  +0.781  -0.054  +0.000
   14.50  +0.110  +1.540  -3.007
   17.00  +0.108  +1.540  -3.017
   19.50  +0.107  +1.538  -3.018
   22.00  +0.106  +1.536  -3.065
   24.50  +0.106  +1.538  -3.068
   27.00  +0.106  +1.538  -3.074
   29.50  +0.106  +1.538  -3.074
   32.00  +0.107  +1.539  -3.041
   34.50  +0.106  +1.539  -3.107
   37.00  +0.105  +1.534  -3.091
   39.50  +0.106  +1.539  -3.119
   42.00  +0.106  +1.539  -3.130
   44.50  +0.106  +1.539  +3.125
   47.00  +0.106  +1.540  -3.139
   49.50  +0.106  +1.540  +3.140
   52.00  +0.106  +1.539  +3.126
   54.50  +0.106  +1.539  -3.137
   57.00  +0.106  +1.539  -3.140
   59.50  +0.106  +1.538  +3.089
   62.00  +0.107  +1.541  +3.103
   64.50  +0.107  +1.541  +3.128
   67.00  +0.107  +1.542  +3.111
   69.50  +0.107  +1.541  -3.141
   72.00  +0.107  +1.541  +3.142
   74.50  +0.107  +1.541  -3.120

final: t=75.50 base_z=+0.107 pitch=+1.541 (+88.3 deg) roll=-3.136 (-179.7 deg)
criteria: |pitch|<=15deg False  |roll|<=15deg False  base_z>=0.55 False  held through second half False

RESULT: FALLS
