# C-39 A/B verdict -- asset: ref
source: /root/panthera/ferox-isaac-demo/docs/mm/evidence/C39/ab/ref_sim.log
rig released at: 11.58
report samples: 153  t 0.50 .. 76.50

 t        base_z   pitch    roll
   12.00  +0.779  -0.009  -0.000
   14.50  +0.111  +1.544  -2.749
   17.00  +0.109  +1.540  -2.717
   19.50  +0.108  +1.536  -2.697
   22.00  +0.108  +1.533  -2.692
   24.50  +0.106  +1.530  -2.717
   27.00  +0.104  +1.524  -2.762
   29.50  +0.103  +1.521  -2.791
   32.00  +0.103  +1.520  -2.781
   34.50  +0.100  +1.514  -2.808
   37.00  +0.101  +1.514  -2.790
   39.50  +0.101  +1.513  -2.782
   42.00  +0.100  +1.513  -2.816
   44.50  +0.100  +1.511  -2.867
   47.00  +0.100  +1.512  -2.868
   49.50  +0.100  +1.511  -2.827
   52.00  +0.100  +1.511  -2.843
   54.50  +0.100  +1.511  -2.858
   57.00  +0.099  +1.510  -2.842
   59.50  +0.099  +1.510  -2.873
   62.00  +0.099  +1.508  -2.946
   64.50  +0.099  +1.509  -2.901
   67.00  +0.099  +1.508  -2.892
   69.50  +0.098  +1.507  -2.959
   72.00  +0.099  +1.507  -2.959
   74.50  +0.099  +1.508  -2.928

final: t=76.50 base_z=+0.098 pitch=+1.506 (+86.3 deg) roll=-2.998 (-171.8 deg)
criteria: |pitch|<=15deg False  |roll|<=15deg False  base_z>=0.55 False  held through second half False

RESULT: FALLS
