# C-39 A/B verdict -- asset: twin_bare
source: /root/panthera/ferox-isaac-demo/docs/mm/evidence/C39/ab/twin_bare_sim.log
rig released at: 9.88
report samples: 154  t 0.50 .. 77.00

 t        base_z   pitch    roll
   10.00  +0.781  -0.058  -0.002
   12.50  +0.109  +1.541  -2.853
   15.00  +0.108  +1.539  -2.942
   17.50  +0.107  +1.540  -2.969
   20.00  +0.107  +1.539  -3.046
   22.50  +0.106  +1.538  -3.054
   25.00  +0.106  +1.538  -3.070
   27.50  +0.106  +1.538  -3.059
   30.00  +0.106  +1.538  -3.083
   32.50  +0.106  +1.538  -3.062
   35.00  +0.105  +1.536  -3.073
   37.50  +0.106  +1.538  -3.104
   40.00  +0.106  +1.539  -3.085
   42.50  +0.106  +1.537  -3.086
   45.00  +0.106  +1.539  -3.133
   47.50  +0.106  +1.539  -3.129
   50.00  +0.106  +1.539  -3.140
   52.50  +0.106  +1.539  -3.103
   55.00  +0.106  +1.537  -3.104
   57.50  +0.107  +1.540  +3.126
   60.00  +0.106  +1.540  +3.112
   62.50  +0.107  +1.540  +3.115
   65.00  +0.107  +1.540  +3.115
   67.50  +0.106  +1.539  +3.122
   70.00  +0.107  +1.540  +3.132
   72.50  +0.107  +1.540  +3.096
   75.00  +0.107  +1.541  -3.141

final: t=77.00 base_z=+0.107 pitch=+1.541 (+88.3 deg) roll=+3.134 (+179.6 deg)
criteria: |pitch|<=15deg False  |roll|<=15deg False  base_z>=0.55 False  held through second half False

RESULT: FALLS
