# C-39 A/B verdict -- asset: twin_bare
source: /root/panthera/ferox-isaac-demo/docs/mm/evidence/C39/ab/twin_bare_sim.log
rig released at: 11.963
report samples: 151  t 0.50 .. 75.50

 t        base_z   pitch    roll
   12.00  +0.789  -0.010  +0.002
   14.50  +0.110  +1.543  -2.950
   17.00  +0.114  +1.559  -2.959
   19.50  +0.113  +1.557  -2.883
   22.00  +0.111  +1.553  -2.944
   24.50  +0.107  +1.541  -3.084
   27.00  +0.106  +1.539  -3.107
   29.50  +0.106  +1.538  -3.128
   32.00  +0.106  +1.538  -3.111
   34.50  +0.106  +1.538  -3.088
   37.00  +0.106  +1.539  -3.102
   39.50  +0.106  +1.539  -3.121
   42.00  +0.106  +1.538  -3.097
   44.50  +0.106  +1.539  -3.120
   47.00  +0.106  +1.540  -3.141
   49.50  +0.106  +1.539  -3.115
   52.00  +0.106  +1.538  -3.137
   54.50  +0.106  +1.540  -3.130
   57.00  +0.106  +1.539  -3.131
   59.50  +0.107  +1.540  -3.136
   62.00  +0.106  +1.539  +3.109
   64.50  +0.106  +1.539  +3.130
   67.00  +0.107  +1.540  +3.129
   69.50  +0.106  +1.540  +3.130
   72.00  +0.106  +1.540  +3.132
   74.50  +0.107  +1.540  +3.133

final: t=75.50 base_z=+0.107 pitch=+1.541 (+88.3 deg) roll=+3.128 (+179.2 deg)
criteria: |pitch|<=15deg False  |roll|<=15deg False  base_z>=0.55 False  held through second half False

RESULT: FALLS
