# C-39 A/B verdict -- asset: twin_bare
source: /root/panthera/ferox-isaac-demo/docs/mm/evidence/C39/ab/twin_bare_sim.log
rig released at: 15.664
report samples: 154  t 0.50 .. 77.00

 t        base_z   pitch    roll
   16.00  +0.781  -0.026  -0.002
   18.00  +0.110  +1.543  -2.998
   20.00  +0.112  +1.552  -2.845
   22.00  +0.111  +1.549  -2.927
   24.00  +0.109  +1.544  -2.958
   26.00  +0.107  +1.539  -3.040
   28.00  +0.107  +1.538  -3.054
   30.00  +0.106  +1.538  -3.064
   32.00  +0.106  +1.539  -3.074
   34.00  +0.106  +1.538  -3.087
   36.00  +0.106  +1.539  -3.081
   38.00  +0.106  +1.539  -3.087
   40.00  +0.107  +1.539  -3.076
   42.00  +0.107  +1.540  -3.089
   44.00  +0.107  +1.540  -3.085
   46.00  +0.107  +1.540  -3.089
   48.00  +0.107  +1.541  -3.102
   50.00  +0.107  +1.541  -3.126
   52.00  +0.107  +1.540  -3.138
   54.00  +0.107  +1.540  +3.139
   56.00  +0.107  +1.540  -3.138
   58.00  +0.107  +1.541  -3.132
   60.00  +0.107  +1.541  -3.138
   62.00  +0.107  +1.540  -3.141
   64.00  +0.107  +1.541  +3.132
   66.00  +0.107  +1.541  -3.130
   68.00  +0.107  +1.542  +3.126
   70.00  +0.107  +1.542  +3.139
   72.00  +0.107  +1.540  -3.141
   74.00  +0.107  +1.542  +3.133
   76.00  +0.107  +1.542  +3.125

final: t=77.00 base_z=+0.107 pitch=+1.542 (+88.4 deg) roll=+3.128 (+179.2 deg)
criteria: |pitch|<=15deg False  |roll|<=15deg False  base_z>=0.55 False  held through second half False

RESULT: FALLS
