# C-39 A/B verdict -- asset: twin_bare
source: /root/panthera/ferox-isaac-demo/docs/mm/evidence/C39/ab/twin_bare_sim.log
rig released at: 27.57
report samples: 30  t 2.50 .. 75.00

 t        base_z   pitch    roll
   30.00  +0.066  -1.467  +2.817
   32.50  +0.077  -1.385  +0.665
   35.00  +0.121  -0.972  -3.133
   37.50  +0.059  -1.323  +2.003
   40.00  +0.060  -1.485  -1.346
   42.50  +0.062  -1.388  +2.062
   45.00  +0.062  -1.487  -1.174
   47.50  +0.065  -1.539  -0.162
   50.00  +0.060  -1.480  +2.997
   52.50  +0.078  -1.247  +2.825
   55.00  +0.062  -1.438  -1.169
   57.50  +0.071  -1.401  +2.612
   60.00  +0.066  -1.350  +3.115
   62.50  +0.070  -1.518  -0.849
   65.00  +0.061  -1.533  -2.115
   67.50  +0.071  -1.401  -0.683
   70.00  +0.061  -1.331  -2.061
   72.50  +0.068  -1.414  +0.917
   75.00  +0.067  -1.511  +0.164

final: t=75.00 base_z=+0.067 pitch=-1.511 (-86.6 deg) roll=+0.164 (+9.4 deg)
criteria: |pitch|<=15deg False  |roll|<=15deg True  base_z>=0.55 False  held through second half False

RESULT: FALLS
