# C-39 A/B verdict -- asset: twin_bare
source: /root/panthera/ferox-isaac-demo/docs/mm/evidence/C39/ab/twin_bare_sim.log
rig released at: 11.98
report samples: 153  t 0.50 .. 76.50

 t        base_z   pitch    roll
   12.00  +0.795  -0.006  -0.002
   14.50  +0.111  +1.546  -2.998
   17.00  +0.113  +1.556  -2.869
   19.50  +0.113  +1.556  -2.854
   22.00  +0.112  +1.552  -2.804
   24.50  +0.110  +1.549  -2.956
   27.00  +0.108  +1.542  -3.061
   29.50  +0.107  +1.540  -3.076
   32.00  +0.107  +1.540  -3.088
   34.50  +0.107  +1.540  -3.136
   37.00  +0.107  +1.540  -3.129
   39.50  +0.107  +1.541  -3.138
   42.00  +0.107  +1.540  +3.139
   44.50  +0.107  +1.540  +3.122
   47.00  +0.106  +1.539  +3.122
   49.50  +0.107  +1.540  +3.122
   52.00  +0.107  +1.541  -3.137
   54.50  +0.107  +1.541  -3.140
   57.00  +0.107  +1.541  +3.131
   59.50  +0.107  +1.542  -3.133
   62.00  +0.107  +1.541  -3.127
   64.50  +0.106  +1.533  -3.130
   67.00  +0.107  +1.541  -3.120
   69.50  +0.107  +1.541  -3.133
   72.00  +0.107  +1.542  +3.141
   74.50  +0.107  +1.542  +3.133

final: t=76.50 base_z=+0.107 pitch=+1.541 (+88.3 deg) roll=-3.131 (-179.4 deg)
criteria: |pitch|<=15deg False  |roll|<=15deg False  base_z>=0.55 False  held through second half False

RESULT: FALLS
