# C-39 A/B verdict -- asset: twin_bare
source: /root/panthera/ferox-isaac-demo/docs/mm/evidence/C39/ab/twin_bare_sim.log
rig released at: 11.04
report samples: 150  t 0.50 .. 75.00

 t        base_z   pitch    roll
   11.50  +0.778  +0.009  -0.000
   14.00  +0.106  +1.536  -2.879
   16.50  +0.104  +1.528  -2.920
   19.00  +0.103  +1.526  -2.936
   21.50  +0.103  +1.524  -2.937
   24.00  +0.102  +1.522  -2.929
   26.50  +0.102  +1.520  -2.919
   29.00  +0.102  +1.519  -2.912
   31.50  +0.099  +1.511  -2.870
   34.00  +0.099  +1.511  -2.859
   36.50  +0.099  +1.510  -2.848
   39.00  +0.099  +1.509  -2.835
   41.50  +0.097  +1.500  -2.799
   44.00  +0.097  +1.502  -2.792
   46.50  +0.097  +1.502  -2.790
   49.00  +0.094  +1.491  -2.896
   51.50  +0.095  +1.494  -2.794
   54.00  +0.096  +1.496  -2.768
   56.50  +0.096  +1.497  -2.767
   59.00  +0.096  +1.497  -2.764
   61.50  +0.096  +1.497  -2.762
   64.00  +0.096  +1.497  -2.758
   66.50  +0.095  +1.492  -2.804
   69.00  +0.096  +1.494  -2.772
   71.50  +0.094  +1.489  -2.870
   74.00  +0.095  +1.492  -2.790

final: t=75.00 base_z=+0.095 pitch=+1.493 (+85.5 deg) roll=-2.778 (-159.2 deg)
criteria: |pitch|<=15deg False  |roll|<=15deg False  base_z>=0.55 False  held through second half False

RESULT: FALLS
