# C-39 A/B verdict -- asset: twin_bare
source: /root/panthera/ferox-isaac-demo/docs/mm/evidence/C39/ab/twin_bare_sim.log
rig released at: 11.4
report samples: 153  t 0.50 .. 76.50

 t        base_z   pitch    roll
   11.50  +0.781  -0.050  +0.001
   14.00  +0.111  +1.551  -3.092
   16.50  +0.113  +1.559  -2.941
   19.00  +0.113  +1.558  -2.886
   21.50  +0.110  +1.544  -2.819
   24.00  +0.109  +1.546  -2.998
   26.50  +0.107  +1.540  -3.056
   29.00  +0.107  +1.540  -3.098
   31.50  +0.106  +1.537  -3.117
   34.00  +0.106  +1.540  -3.102
   36.50  +0.107  +1.540  -3.128
   39.00  +0.107  +1.540  -3.141
   41.50  +0.106  +1.540  -3.129
   44.00  +0.107  +1.540  -3.139
   46.50  +0.107  +1.540  +3.138
   49.00  +0.107  +1.540  -3.138
   51.50  +0.107  +1.540  -3.121
   54.00  +0.107  +1.541  +3.109
   56.50  +0.107  +1.541  +3.125
   59.00  +0.107  +1.541  +3.129
   61.50  +0.107  +1.542  +3.141
   64.00  +0.107  +1.541  -3.131
   66.50  +0.107  +1.542  -3.123
   69.00  +0.107  +1.542  -3.132
   71.50  +0.107  +1.541  -3.119
   74.00  +0.107  +1.541  -3.133
   76.50  +0.107  +1.542  -3.111

final: t=76.50 base_z=+0.107 pitch=+1.542 (+88.4 deg) roll=-3.111 (-178.2 deg)
criteria: |pitch|<=15deg False  |roll|<=15deg False  base_z>=0.55 False  held through second half False

RESULT: FALLS
