# C-39 A/B verdict -- asset: twin_bare
source: /root/panthera/ferox-isaac-demo/docs/mm/evidence/C39/ab/twin_bare_sim.log
rig released at: 9.18
report samples: 153  t 0.50 .. 76.50

 t        base_z   pitch    roll
    9.50  +0.781  -0.030  +0.001
   12.00  +0.110  +1.544  -2.966
   14.50  +0.108  +1.542  -3.018
   17.00  +0.108  +1.542  +3.135
   19.50  +0.108  +1.542  -3.107
   22.00  +0.107  +1.541  +3.099
   24.50  +0.107  +1.541  +3.113
   27.00  +0.107  +1.542  +3.135
   29.50  +0.108  +1.542  -3.120
   32.00  +0.107  +1.542  +3.117
   34.50  +0.108  +1.542  -3.140
   37.00  +0.108  +1.542  -3.091
   39.50  +0.108  +1.542  -3.093
   42.00  +0.108  +1.543  -3.107
   44.50  +0.108  +1.542  +3.113
   47.00  +0.108  +1.543  -3.129
   49.50  +0.108  +1.542  +3.119
   52.00  +0.108  +1.542  -3.135
   54.50  +0.108  +1.543  -3.140
   57.00  +0.108  +1.542  -3.107
   59.50  +0.108  +1.542  +3.130
   62.00  +0.107  +1.539  +3.110
   64.50  +0.108  +1.542  -3.136
   67.00  +0.108  +1.542  -3.121
   69.50  +0.108  +1.543  -3.135
   72.00  +0.108  +1.542  -3.110
   74.50  +0.108  +1.542  -3.126

final: t=76.50 base_z=+0.108 pitch=+1.542 (+88.4 deg) roll=+3.135 (+179.6 deg)
criteria: |pitch|<=15deg False  |roll|<=15deg False  base_z>=0.55 False  held through second half False

RESULT: FALLS
