link,mass_kg,com_local_x,com_local_y,com_local_z,world_x,world_y,world_z,ixx,iyy,izz
pelvis,3.813,0.0,0.0,-0.07605,0.0,0.0,0.793,0.010549,0.0093089,0.0079184
left_hip_pitch_link,1.35,0.002741,0.047791,-0.02606,0.0,0.064452,0.6903,0.00181517,0.00153422,0.00116212
left_hip_roll_link,1.52,0.029812,-0.001045,-0.087934,0.003041,0.116452,0.659987,0.00254986,0.00241169,0.00148755
left_hip_yaw_link,1.702,-0.057709,-0.010981,-0.15078,0.060796,0.116452,0.547314,0.00776166,0.00717575,0.00160139
left_knee_link,1.932,0.005457,0.003964,-0.12074,0.033601,0.118601,0.355386,0.0113804,0.0112778,0.00146458
left_ankle_pitch_link,0.074,-0.007269,0.0,0.011137,-0.026002,0.118506,0.061356,1.89e-05,1.408e-05,6.92e-06
left_ankle_roll_link,0.608,0.026505,0.0,-0.016425,-0.026002,0.118506,0.043798,0.00167218,0.0016161,0.00021762
right_hip_pitch_link,1.35,0.002741,-0.047791,-0.02606,0.0,-0.064452,0.6903,0.00181517,0.00153422,0.00116212
right_hip_roll_link,1.52,0.029812,0.001045,-0.087934,0.003041,-0.116452,0.659987,0.00254986,0.00241169,0.00148755
right_hip_yaw_link,1.702,-0.057709,0.010981,-0.15078,0.060796,-0.116452,0.547314,0.00776166,0.00717575,0.00160139
right_knee_link,1.932,0.005457,-0.003964,-0.12074,0.033601,-0.118601,0.355386,0.011374,0.0112843,0.00146452
right_ankle_pitch_link,0.074,-0.007269,0.0,0.011137,-0.026002,-0.118506,0.061356,1.89e-05,1.408e-05,6.92e-06
right_ankle_roll_link,0.608,0.026505,0.0,-0.016425,-0.026002,-0.118506,0.043798,0.00167218,0.0016161,0.00021762
waist_yaw_link,0.244,0.003964,0.0,0.018769,0.0,0.0,0.793,0.00015856,0.00012423,9.677e-05
waist_roll_link,0.047,0.0,-0.000236,0.010111,-0.003964,0.0,0.828,7.52e-06,6.4e-06,3.98e-06
torso_link,9.598,0.003317,0.000262,0.179856,-0.003964,0.0,0.847,0.12407,0.111951,0.0325382
left_shoulder_pitch_link,0.718,0.0,0.035892,-0.011628,-7e-06,0.10022,1.08478,0.00046586,0.00043284,0.00040639
left_shoulder_roll_link,0.643,-0.000227,0.00727,-0.063243,0.0,0.14056,1.081961,0.00069131,0.00061801,0.00038898
left_shoulder_yaw_link,0.734,0.010773,-0.002949,-0.072009,-4e-06,0.146806,0.978762,0.00106187,0.00103217,0.00040066
left_elbow_link,0.6,0.064956,0.004454,-0.010062,0.015774,0.146808,0.898243,0.00044303,0.00042161,0.00025935
left_wrist_roll_link,0.085445,0.017139,0.000538,0.0,0.115774,0.148678,0.888237,5.482e-05,4.966e-05,3.578e-05
left_wrist_pitch_link,0.48405,0.023,-0.001117,-0.001117,0.153774,0.14867,0.888235,0.00043035,0.00042987,0.00016465
left_wrist_yaw_link,0.254576,0.070824,0.000192,0.001617,0.199774,0.148661,0.888233,0.00064611,0.00055999,0.00014757
right_shoulder_pitch_link,0.718,0.0,-0.035892,-0.011628,-7e-06,-0.10021,1.08478,0.00046586,0.00043284,0.00040639
right_shoulder_roll_link,0.643,-0.000227,-0.00727,-0.063243,0.0,-0.14055,1.081961,0.00069131,0.00061801,0.00038898
right_shoulder_yaw_link,0.734,0.010773,0.002949,-0.072009,-4e-06,-0.146796,0.978762,0.00106187,0.00103217,0.00040066
right_elbow_link,0.6,0.064956,-0.004454,-0.010062,0.015774,-0.146798,0.898243,0.00044303,0.00042161,0.00025935
right_wrist_roll_link,0.085445,0.017139,-0.000538,0.0,0.115774,-0.148668,0.888237,5.482e-05,4.966e-05,3.578e-05
right_wrist_pitch_link,0.48405,0.023,0.001117,-0.001117,0.153774,-0.14866,0.888235,0.00043035,0.00042987,0.00016465
right_wrist_yaw_link,0.254576,0.070824,-0.000192,0.001617,0.199774,-0.148651,0.888233,0.00064611,0.00055999,0.00014757
