t_s,target_deg,joint_deg,leaf_world_deg,phase
0.005,0.0,-0.333,-0.333,settle
0.105,0.0,-0.333,-0.333,settle
0.205,0.0,-0.333,-0.333,settle
0.305,0.0,-0.333,-0.333,settle
0.405,0.0,-0.333,-0.333,settle
0.505,0.0,-0.333,-0.333,settle
0.605,0.0,-0.333,-0.333,settle
0.705,0.0,-0.333,-0.333,settle
0.805,0.0,-0.333,-0.333,settle
0.905,0.0,-0.333,-0.333,settle
1.005,45.0,-0.333,-0.333,open45
1.105,45.0,-0.333,-0.333,open45
1.205,45.0,-0.333,-0.333,open45
1.305,45.0,-0.333,-0.333,open45
1.405,45.0,-0.333,-0.333,open45
1.505,45.0,-0.333,-0.333,open45
1.605,45.0,-0.333,-0.333,open45
1.705,45.0,-0.333,-0.333,open45
1.805,45.0,-0.333,-0.333,open45
1.905,45.0,-0.333,-0.333,open45
2.005,45.0,-0.333,-0.333,open45
2.105,45.0,-0.333,-0.333,open45
2.205,45.0,-0.333,-0.333,open45
2.305,45.0,-0.333,-0.333,open45
2.405,45.0,-0.333,-0.333,open45
2.505,45.0,-0.333,-0.333,open45
2.605,45.0,-0.333,-0.333,open45
2.705,45.0,-0.333,-0.333,open45
2.805,45.0,-0.333,-0.333,open45
2.905,45.0,-0.333,-0.333,open45
3.005,45.0,-0.333,-0.333,open45
3.105,45.0,-0.333,-0.333,open45
3.205,45.0,-0.333,-0.333,open45
3.305,45.0,-0.333,-0.333,open45
3.405,45.0,-0.333,-0.333,open45
3.505,45.0,-0.333,-0.333,open45
3.605,45.0,-0.333,-0.333,open45
3.705,45.0,-0.333,-0.333,open45
3.805,45.0,-0.333,-0.333,open45
3.905,45.0,-0.333,-0.333,open45
4.005,90.0,-0.333,-0.333,open90
4.105,90.0,-0.333,-0.333,open90
4.205,90.0,-0.333,-0.333,open90
4.305,90.0,-0.333,-0.333,open90
4.405,90.0,-0.333,-0.333,open90
4.505,90.0,-0.333,-0.333,open90
4.605,90.0,-0.333,-0.333,open90
4.705,90.0,-0.333,-0.333,open90
4.805,90.0,-0.333,-0.333,open90
4.905,90.0,-0.333,-0.333,open90
5.005,90.0,-0.333,-0.333,open90
5.105,90.0,-0.333,-0.333,open90
5.205,90.0,-0.333,-0.333,open90
5.305,90.0,-0.333,-0.333,open90
5.405,90.0,-0.333,-0.333,open90
5.505,90.0,-0.333,-0.333,open90
5.605,90.0,-0.333,-0.333,open90
5.705,90.0,-0.333,-0.333,open90
5.805,90.0,-0.333,-0.333,open90
5.905,90.0,-0.333,-0.333,open90
6.005,90.0,-0.333,-0.333,open90
6.105,90.0,-0.333,-0.333,open90
6.205,90.0,-0.333,-0.333,open90
6.305,90.0,-0.333,-0.333,open90
6.405,90.0,-0.333,-0.333,open90
6.505,90.0,-0.333,-0.333,open90
6.605,90.0,-0.333,-0.333,open90
6.705,90.0,-0.333,-0.333,open90
6.805,90.0,-0.333,-0.333,open90
6.905,90.0,-0.333,-0.333,open90
7.005,170.0,-0.333,-0.333,overdrive
7.105,170.0,-0.333,-0.333,overdrive
7.205,170.0,-0.333,-0.333,overdrive
7.305,170.0,-0.333,-0.333,overdrive
7.405,170.0,-0.333,-0.333,overdrive
7.505,170.0,-0.333,-0.333,overdrive
7.605,170.0,-0.333,-0.333,overdrive
7.705,170.0,-0.333,-0.333,overdrive
7.805,170.0,-0.333,-0.333,overdrive
7.905,170.0,-0.333,-0.333,overdrive
8.005,170.0,-0.333,-0.333,overdrive
8.105,170.0,-0.333,-0.333,overdrive
8.205,170.0,-0.333,-0.333,overdrive
8.305,170.0,-0.333,-0.333,overdrive
8.405,170.0,-0.333,-0.333,overdrive
8.505,170.0,-0.333,-0.333,overdrive
8.605,170.0,-0.333,-0.333,overdrive
8.705,170.0,-0.333,-0.333,overdrive
8.805,170.0,-0.333,-0.333,overdrive
8.905,170.0,-0.333,-0.333,overdrive
9.005,170.0,-0.333,-0.333,overdrive
9.105,170.0,-0.333,-0.333,overdrive
9.205,170.0,-0.333,-0.333,overdrive
9.305,170.0,-0.333,-0.333,overdrive
9.405,170.0,-0.333,-0.333,overdrive
9.505,170.0,-0.333,-0.333,overdrive
9.605,170.0,-0.333,-0.333,overdrive
9.705,170.0,-0.333,-0.333,overdrive
9.805,170.0,-0.333,-0.333,overdrive
9.905,170.0,-0.333,-0.333,overdrive
10.005,0.0,-0.333,-0.333,closer_spring
10.105,0.0,-0.333,-0.333,closer_spring
10.205,0.0,-0.333,-0.333,closer_spring
10.305,0.0,-0.333,-0.333,closer_spring
10.405,0.0,-0.333,-0.333,closer_spring
10.505,0.0,-0.333,-0.333,closer_spring
10.605,0.0,-0.333,-0.333,closer_spring
10.705,0.0,-0.333,-0.333,closer_spring
10.805,0.0,-0.333,-0.333,closer_spring
10.905,0.0,-0.333,-0.333,closer_spring
11.005,0.0,-0.333,-0.333,closer_spring
11.105,0.0,-0.333,-0.333,closer_spring
11.205,0.0,-0.333,-0.333,closer_spring
11.305,0.0,-0.333,-0.333,closer_spring
11.405,0.0,-0.333,-0.333,closer_spring
11.505,0.0,-0.333,-0.333,closer_spring
11.605,0.0,-0.333,-0.333,closer_spring
11.705,0.0,-0.333,-0.333,closer_spring
11.805,0.0,-0.333,-0.333,closer_spring
11.905,0.0,-0.333,-0.333,closer_spring
12.005,0.0,-0.333,-0.333,closer_spring
12.105,0.0,-0.333,-0.333,closer_spring
12.205,0.0,-0.333,-0.333,closer_spring
12.305,0.0,-0.333,-0.333,closer_spring
12.405,0.0,-0.333,-0.333,closer_spring
12.505,0.0,-0.333,-0.333,closer_spring
12.605,0.0,-0.333,-0.333,closer_spring
12.705,0.0,-0.333,-0.333,closer_spring
12.805,0.0,-0.333,-0.333,closer_spring
12.905,0.0,-0.333,-0.333,closer_spring
13.005,0.0,-0.333,-0.333,closer_spring
13.105,0.0,-0.333,-0.333,closer_spring
13.205,0.0,-0.333,-0.333,closer_spring
