[lowlevel-sim][GT] t=0.001 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.051 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.101 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.151 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.201 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.251 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.301 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.351 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.401 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.451 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.501 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.551 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.601 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.651 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.701 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.751 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.801 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.851 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.901 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=0.951 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.001 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.051 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.101 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.151 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.201 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.251 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.301 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.351 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.401 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.451 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.501 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.551 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.601 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.651 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.701 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.751 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.801 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.851 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.901 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=1.951 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=2.001 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=2.051 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=2.101 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=2.151 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=2.201 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=2.251 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=2.301 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=2.351 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=2.401 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=2.451 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=2.501 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=2.551 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
[lowlevel-sim][GT] t=2.601 quat=[1.0, 0.0, 0.0, 0.0] angvel=[0.0, 0.0, 0.0] linvel=[0.0, 0.0, 0.0] z=0.7975
